id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,69140,1,Mustafi,69140,55,54,80,2611,2,0,6,40,0,0,0,9,0,0,5,475,718.6,106.0,252.0,107.8
2,98745,1,Bellerín,98745,55,53,60,1532,0,5,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280.0,73.7
3,111457,1,Kolasinac,111457,50,49,81,1886,0,7,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242.0,101.0
4,154043,1,Maitland-Niles,154043,45,44,34,983,1,1,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126.0,44.8
5,39476,1,Sokratis,39476,55,51,64,2198,1,2,5,33,0,0,0,12,0,0,4,402,513.8,67.9,120.0,70.4
6,38411,1,Monreal,38411,55,54,77,1860,1,4,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224.0,83.4
7,51507,1,Koscielny,51507,55,54,62,1329,3,0,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105.0,59.1
8,233963,1,Mavropanos,233963,50,47,3,147,0,0,0,1,0,0,0,1,0,0,0,28,27.0,14.1,10.0,5.2
9,80254,1,Jenkinson,80254,45,45,4,165,0,0,0,3,0,0,0,0,0,0,0,16,26.8,16.9,8.0,5.2
10,156074,1,Holding,156074,45,43,24,806,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14.0,23.2
11,54694,1,Aubameyang,54694,110,108,205,2722,22,7,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429.0,289.6
12,59966,1,Lacazette,59966,95,94,166,2497,13,12,6,31,0,0,0,2,0,0,20,560,808.0,482.4,1319.0,260.6
13,205533,1,Nketiah,205533,50,50,10,63,1,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59.0,11.4
14,80201,1,Leno,80201,50,49,106,2835,0,0,6,42,0,0,0,0,0,105,5,568,807.2,0.0,0.0,80.5
15,37605,1,Özil,37605,85,79,89,1732,5,3,5,24,0,0,0,2,0,0,9,363,429.6,714.2,254.0,140.0
16,57249,1,Mkhitaryan,57249,70,66,98,1637,6,4,3,26,0,0,0,1,0,0,12,354,446.4,454.9,600.0,150.2
17,153133,1,Iwobi,153133,55,54,99,1961,3,8,4,32,0,0,0,0,0,0,3,382,469.0,596.7,646.0,171.1
18,84450,1,Xhaka,84450,55,52,90,2498,4,3,7,37,0,0,0,10,0,0,8,452,634.6,674.0,215.0,152.6
19,198849,1,Torreira,198849,50,47,78,2377,2,4,5,38,0,0,0,7,1,0,6,409,440.8,301.0,203.0,94.5
20,153256,1,Elneny,153256,45,42,10,377,0,0,0,5,0,0,0,0,0,0,0,59,86.6,76.7,63.0,22.7
21,242166,1,Guendouzi,242166,45,44,47,2140,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130.0,76.6
427,98980,1,Martínez,98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
467,101184,1,Chambers,101184,45,42,60,2586,2,0,5,52,0,0,0,9,0,0,0,431,609.0,231.9,401.0,124.5
489,200641,1,Nelson,200641,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
490,200089,1,Willock,200089,45,45,4,63,0,0,1,1,0,0,0,0,0,0,0,4,1.0,2.5,23.0,2.7
25,123354,2,Hause,123354,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
94,21205,2,Heaton,21205,50,48,58,1710,0,0,4,27,0,0,0,3,0,63,4,323,442.8,20.1,4.0,46.6
309,169359,2,Targett,169359,45,42,36,1185,1,3,0,25,0,0,0,2,0,0,3,229,314.2,366.8,181.0,86.2
445,149484,2,Mings,149484,45,42,5,141,0,0,0,4,0,0,0,0,0,0,0,41,49.0,16.3,2.0,6.8
58,56917,3,Steve Cook,56917,45,43,85,2786,1,1,9,56,1,0,0,3,0,0,6,549,731.0,143.3,292.0,116.5
59,126184,3,Aké,126184,50,51,120,3411,4,1,10,70,0,0,0,3,0,0,8,716,1002.0,125.9,440.0,156.8
60,41320,3,Daniels,41320,45,41,44,1583,1,0,4,34,0,0,0,4,0,0,1,278,289.8,215.4,156.0,66.2
61,223911,3,Mepham,223911,45,45,27,848,0,1,2,17,0,0,0,1,0,0,0,158,177.2,24.1,22.0,22.5
62,15149,3,Francis,15149,45,43,40,1227,0,2,4,24,0,0,0,1,0,0,0,244,332.4,173.3,39.0,54.4
63,54469,3,Adam Smith,54469,45,43,70,2067,1,1,8,33,0,0,0,5,1,0,1,383,374.0,199.8,110.0,68.5
65,171129,3,Rico,171129,45,41,8,606,0,0,0,19,0,0,0,1,0,0,0,89,107.4,171.6,36.0,31.4
66,222434,3,Simpson,222434,40,39,10,401,0,0,1,9,1,0,0,0,0,0,0,73,85.4,2.0,21.0,11.0
67,75115,3,Wilson,75115,60,69,168,2528,14,12,9,47,0,0,1,3,0,0,22,525,737.8,388.4,1137.0,225.0
68,78007,3,King,78007,65,64,141,2963,12,3,10,57,0,0,1,3,0,0,20,457,655.4,535.7,1058.0,223.8
69,154566,3,Solanke,154566,50,47,15,340,0,1,0,5,0,0,0,0,0,0,0,45,79.0,96.0,154.0,33.0
71,217331,3,Surridge,217331,45,45,2,11,0,0,0,0,0,0,0,0,0,0,0,3,5.0,11.8,23.0,4.0
72,40349,3,Begovic,40349,45,43,63,2160,0,0,5,47,0,0,0,0,0,59,4,363,440.6,0.0,0.0,44.2
73,18726,3,Boruc,18726,40,41,46,1080,0,0,4,18,0,0,0,2,0,39,4,218,302.0,0.0,0.0,30.3
74,229600,3,Travers,229600,40,40,9,180,0,0,1,5,0,0,0,0,0,9,1,46,68.2,0.0,0.0,6.8
75,90105,3,Fraser,90105,55,64,181,3165,7,14,9,64,0,0,0,2,0,0,23,751,930.6,1382.4,696.0,301.2
76,111317,3,Brooks,111317,50,50,123,2263,7,6,9,41,0,0,0,3,0,0,7,414,598.0,466.7,609.0,167.5
77,56872,3,Stanislas,56872,60,60,56,1021,2,3,2,24,0,0,0,1,0,0,3,205,225.2,254.5,340.0,82.0
78,103912,3,Ibe,103912,55,49,33,789,1,1,1,23,0,0,0,1,0,0,0,105,131.2,174.8,155.0,46.0
79,155408,3,Lewis Cook,155408,50,46,22,719,0,0,3,10,0,0,0,2,0,0,0,91,76.0,50.4,36.0,16.5
80,15237,3,Surman,15237,50,46,36,1438,0,0,4,37,0,0,0,2,0,0,0,206,190.8,163.0,38.0,39.2
81,40387,3,Gosling,40387,50,47,54,1734,2,2,4,33,0,0,0,8,0,0,0,237,400.6,164.7,217.0,78.1
82,152551,3,Lerma,152551,45,45,75,2505,2,2,9,49,1,0,0,12,0,0,6,410,539.6,245.8,174.0,96.2
476,168991,3,Billing,168991,45,45,63,2187,2,0,5,43,0,0,0,7,0,0,4,317,494.6,341.0,375.0,121.3
37,61933,4,Duffy,61933,45,47,115,3087,5,2,7,55,0,0,0,4,1,0,9,582,1024.4,84.1,499.0,160.9
38,86153,4,Montoya,86153,45,43,45,2166,0,1,3,41,0,0,0,4,0,0,1,351,437.6,289.2,58.0,78.6
39,209362,4,Bernardo,209362,45,42,39,1749,0,1,2,29,0,0,0,4,0,0,0,290,444.2,172.6,83.0,70.0
40,52484,4,Balogun,52484,45,42,15,591,1,0,0,10,0,0,0,2,0,0,0,86,134.0,1.1,27.0,16.2
41,42748,4,Bong,42748,45,44,48,1805,0,0,5,34,0,0,0,0,0,0,0,254,220.0,153.3,8.0,38.0
42,83299,4,Dunk,83299,45,44,91,3151,2,1,7,56,0,0,0,5,1,0,6,573,805.8,132.9,245.0,118.7
44,20529,4,Murray,20529,65,61,129,2501,13,1,4,45,0,0,0,5,0,0,16,337,478.0,190.0,835.0,148.1
45,106757,4,Locadia,106757,55,53,52,1225,2,0,3,21,0,0,0,1,0,0,6,155,154.4,190.8,356.0,69.7
46,93284,4,Andone,93284,50,50,38,866,3,0,2,14,0,0,0,5,0,0,2,74,147.2,48.6,361.0,54.9
47,131897,4,Ryan,131897,45,44,104,3060,0,0,6,55,0,0,0,2,0,97,11,547,707.0,0.0,0.0,70.9
48,50093,4,Button,50093,40,40,15,360,0,0,1,5,0,0,0,0,0,14,2,76,89.2,0.0,0.0,8.9
49,60307,4,Groß,60307,70,67,80,1864,3,3,3,31,0,0,1,1,0,0,12,347,456.0,815.3,344.0,161.7
50,165210,4,Jahanbakhsh,165210,70,67,33,1014,0,0,5,16,0,0,0,2,0,0,0,61,94.4,104.0,162.0,35.5
51,167473,4,Izquierdo,167473,60,59,31,789,0,2,3,10,0,0,0,1,0,0,0,95,75.4,77.3,147.0,30.0
52,83543,4,Knockaert,83543,55,52,74,1828,2,6,3,41,0,0,0,4,1,0,2,293,389.6,580.8,345.0,131.4
53,227127,4,Bissouma,227127,50,46,43,1764,0,0,3,32,0,0,0,5,0,0,0,170,253.4,213.0,201.0,66.8
54,66242,4,Pröpper,66242,50,48,72,2546,1,1,4,45,0,0,0,2,0,0,3,351,389.2,279.1,121.0,79.2
55,109345,4,March,109345,50,47,94,2459,1,6,6,40,0,0,0,1,0,0,5,342,474.6,684.5,405.0,156.6
56,38490,4,Kayal,38490,45,44,36,935,1,1,4,17,0,0,0,4,0,0,0,136,224.0,59.3,53.0,33.6
57,40845,4,Stephens,40845,45,43,65,2484,1,1,5,46,0,0,0,6,1,0,4,404,498.2,249.3,88.0,83.6
475,78916,4,Burn,78916,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
83,51927,5,Mee,51927,50,46,81,3420,0,2,8,68,2,0,0,9,0,0,5,572,885.4,113.8,238.0,123.9
84,17761,5,Tarkowski,17761,50,47,97,3086,3,2,7,63,0,0,0,8,0,0,7,524,1023.2,69.8,450.0,154.5
85,68983,5,Lowton,68983,50,46,34,1748,0,0,4,41,0,0,0,7,0,0,1,269,338.0,158.6,48.0,54.6
86,17997,5,Bardsley,17997,45,42,33,1670,0,0,4,27,1,0,0,9,0,0,0,224,267.8,139.6,66.0,47.4
87,103914,5,Taylor,103914,45,44,82,3240,0,1,7,64,0,0,0,2,0,0,2,505,649.4,268.5,30.0,94.9
88,41674,5,Long,41674,45,41,16,513,0,1,1,9,0,0,0,0,0,0,0,101,147.8,11.6,8.0,16.8
89,83312,5,Gibson,83312,50,48,6,62,1,0,0,3,0,0,0,1,0,0,0,17,42.4,0.4,33.0,7.6
90,44699,5,Barnes,44699,60,56,122,2378,12,3,7,41,1,0,0,8,0,0,13,394,581.2,309.9,1042.0,192.9
91,60689,5,Wood,60689,65,63,131,2580,10,3,7,49,0,0,0,2,0,0,17,379,475.8,310.3,911.0,167.9
92,81183,5,Vydra,81183,60,56,21,310,1,1,0,7,0,0,0,1,0,0,0,61,70.4,33.7,114.0,21.4
93,98747,5,Pope,98747,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
95,15749,5,Hart,15749,45,42,69,1710,0,0,4,41,0,1,0,0,0,77,7,378,594.6,10.1,0.0,60.3
96,60586,5,Gudmundsson,60586,60,55,92,1743,3,7,5,39,0,0,0,2,0,0,6,339,456.2,574.1,380.0,141.1
97,433154,5,McNeil,433154,45,44,75,1590,3,4,5,25,0,0,0,2,0,0,6,305,405.2,442.8,279.0,112.5
98,90517,5,Brady,90517,55,54,20,714,0,1,1,17,0,0,0,3,1,0,0,77,102.0,194.1,85.0,38.2
99,39847,5,Defour,39847,55,53,10,449,0,0,0,14,0,0,0,0,0,0,0,70,61.4,36.6,0.0,9.9
100,83314,5,Hendrick,83314,55,52,73,2058,2,2,4,44,0,0,0,4,0,0,3,243,233.8,205.3,269.0,70.6
101,60551,5,Westwood,60551,45,46,111,2821,2,8,7,55,0,0,0,5,0,0,10,518,623.0,643.1,253.0,152.3
102,40145,5,Cork,40145,50,46,87,3312,1,2,8,63,0,0,0,6,0,0,0,446,491.4,309.7,240.0,104.3
430,17349,5,Lennon,17349,50,49,41,1214,1,1,3,22,0,0,0,1,0,0,2,133,151.6,121.2,108.0,38.0
103,82263,6,Alonso,82263,65,62,161,2759,2,8,14,28,0,0,0,6,0,0,21,702,619.0,520.1,475.0,161.7
104,102380,6,Rüdiger,102380,60,59,116,2871,1,2,12,35,0,0,0,7,0,0,9,609,566.8,143.6,273.0,98.5
105,41328,6,Azpilicueta,41328,65,64,158,3402,1,6,16,39,0,0,0,4,0,0,11,822,815.0,525.1,286.0,163.2
106,41270,6,David Luiz,41270,55,58,164,3238,3,2,16,36,0,0,0,3,0,0,19,794,859.0,358.7,363.0,158.0
107,109533,6,Emerson,109533,55,52,22,660,0,0,2,11,0,0,0,0,0,0,1,130,104.6,113.8,81.0,30.0
108,135363,6,Christensen,135363,55,50,22,615,0,0,3,7,0,0,0,1,0,0,0,133,120.6,8.4,6.0,13.6
109,105700,6,Zappacosta,105700,55,50,9,125,0,0,1,0,0,0,0,0,0,0,0,30,17.4,14.7,29.0,6.1
110,44346,6,Giroud,44346,80,77,55,828,2,4,6,5,0,0,0,1,0,0,2,169,183.2,253.6,519.0,94.5
111,109745,6,Kepa,109745,55,54,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681.0,0.1,0.0,68.0
112,20310,6,Caballero,20310,50,47,13,180,0,0,2,0,0,0,0,0,0,3,0,45,24.6,1.0,0.0,2.6
113,47431,6,Willian,47431,75,71,108,2091,3,7,11,25,0,0,0,2,0,0,6,475,557.6,1165.5,742.0,246.7
114,49579,6,Pedro,49579,65,62,112,1768,8,2,7,19,0,0,0,2,0,0,12,440,530.2,503.5,733.0,176.5
115,126187,6,Loftus-Cheek,126187,55,52,79,980,6,2,5,9,0,0,0,0,0,0,6,292,391.6,254.9,346.0,99.4
116,209046,6,Hudson-Odoi,209046,45,42,18,388,0,1,2,5,0,0,0,0,0,0,1,83,89.2,143.2,133.0,36.2
117,88894,6,Barkley,88894,60,50,79,1231,3,5,7,13,0,0,0,1,0,0,5,300,324.0,349.0,429.0,110.0
118,85955,6,Jorginho,85955,50,46,96,3156,2,0,16,37,0,0,0,8,0,0,4,577,691.4,628.4,122.0,144.2
119,116594,6,Kanté,116594,50,49,116,3092,4,4,14,38,0,0,0,3,0,0,3,563,683.6,766.3,412.0,186.4
120,61603,6,Drinkwater,61603,50,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
121,199598,6,Ampadu,199598,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
432,91651,6,Kovacic,91651,60,57,64,1725,0,2,9,19,0,0,0,3,0,0,2,343,315.4,468.8,311.0,109.9
459,103192,6,Zouma,103192,50,50,112,2613,2,2,10,39,0,0,0,3,1,0,12,543,565.2,83.7,235.0,88.8
460,173879,6,Abraham,173879,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
461,94245,6,Batshuayi,94245,65,62,48,748,5,1,3,11,0,0,0,0,0,0,5,159,198.6,41.4,406.0,64.2
462,167767,6,Kenedy,167767,50,47,50,1337,1,1,6,18,0,0,1,1,0,0,1,161,212.8,187.9,297.0,69.8
123,74230,7,van Aanholt,74230,55,55,140,3196,3,2,12,46,0,0,0,3,0,0,17,626,616.0,520.4,448.0,158.7
124,49413,7,Tomkins,49413,45,43,86,2561,1,1,10,37,0,0,0,6,0,0,0,504,560.8,83.0,276.0,92.3
125,40784,7,Sakho,40784,50,49,88,2416,0,0,9,35,0,0,0,2,0,0,13,533,540.6,78.2,47.0,66.6
126,55494,7,Ward,55494,45,43,13,551,1,0,0,14,0,0,0,1,0,0,0,68,131.8,28.9,43.0,20.5
127,19188,7,Dann,19188,45,44,23,661,0,1,2,10,0,0,0,1,0,0,0,129,186.2,22.5,71.0,28.1
128,58786,7,Kelly,58786,40,39,26,1110,0,0,3,21,1,0,0,2,0,0,1,166,269.8,17.1,34.0,32.2
129,54861,7,Benteke,54861,65,63,33,807,1,1,3,13,0,0,0,1,0,0,3,65,106.0,118.4,348.0,56.1
130,59125,7,Wickham,59125,50,49,9,61,0,1,0,1,0,0,0,0,0,0,0,23,23.2,41.9,55.0,12.0
131,40836,7,Guaita,40836,45,43,81,1754,0,0,7,23,0,0,0,2,0,64,8,378,448.0,0.0,0.0,44.8
132,20066,7,Hennessey,20066,45,44,67,1575,0,0,5,26,0,1,0,0,0,44,6,311,358.8,0.0,0.0,35.9
133,82403,7,Zaha,82403,70,70,143,3037,10,11,11,49,0,0,0,8,1,0,13,459,752.8,753.3,1200.0,270.6
134,66975,7,Milivojevic,66975,65,65,166,3420,12,2,12,53,0,0,1,10,0,0,24,741,1078.2,910.1,473.0,246.3
135,60252,7,Townsend,60252,60,56,135,3007,6,5,11,46,0,0,0,1,0,0,8,520,743.0,928.5,622.0,229.6
136,141020,7,Meyer,141020,60,55,60,1405,1,3,6,24,0,0,0,3,0,0,0,223,236.0,309.9,433.0,98.0
137,86417,7,Schlupp,86417,45,43,91,1660,4,3,4,26,0,0,0,1,0,0,3,301,385.2,240.5,430.0,105.7
138,50471,7,McArthur,50471,50,49,121,3057,3,7,11,49,0,0,0,7,0,0,7,500,666.8,457.2,487.0,161.3
139,55037,7,Kouyaté,55037,50,47,67,1889,0,3,9,30,0,0,0,3,0,0,0,251,337.4,198.5,222.0,75.6
140,221275,7,Dreher,221275,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,0.0,0.1
468,80146,7,Ayew,80146,60,57,46,1176,1,3,5,13,0,0,0,3,0,0,2,114,140.2,207.3,421.0,76.7
141,101188,8,Digne,101188,50,54,158,2964,4,5,13,38,1,0,0,5,1,0,22,736,883.0,1142.0,300.0,232.7
142,164511,8,Mina,164511,55,54,36,891,1,0,3,13,0,0,0,3,0,0,2,176,198.2,37.5,61.0,29.6
143,106611,8,Keane,106611,50,48,129,2970,1,2,13,39,0,0,0,2,0,0,15,642,740.2,101.2,326.0,117.2
144,59949,8,Coleman,59949,55,52,125,2558,2,2,13,30,1,0,0,1,0,0,12,548,515.2,387.3,274.0,117.6
145,12745,8,Baines,12745,55,50,7,374,0,0,0,6,0,0,0,0,0,0,0,48,48.4,91.4,15.0,15.4
146,66838,8,Tosun,66838,70,64,56,1044,3,3,1,17,0,0,0,3,0,0,3,166,212.6,172.2,546.0,92.8
147,177815,8,Calvert-Lewin,177815,55,54,92,1769,6,5,8,26,0,0,0,3,0,0,3,267,321.8,185.7,618.0,111.5
148,111234,8,Pickford,111234,50,49,161,3420,0,0,14,46,0,3,0,1,0,94,13,706,776.4,10.0,0.0,78.5
149,10318,8,Stekelenburg,10318,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
150,212319,8,Richarlison,212319,65,64,153,2662,13,3,11,36,0,0,0,5,1,0,12,400,698.4,350.7,1209.0,224.5
151,55422,8,Sigurdsson,55422,75,74,182,3122,13,6,15,41,0,0,3,3,0,0,20,662,959.8,1098.5,1084.0,314.2
152,100649,8,Bernard,100649,60,59,88,2108,1,4,13,19,0,0,0,5,0,0,5,319,366.0,589.6,377.0,133.3
153,20467,8,Walcott,20467,65,59,101,2108,5,3,6,33,0,0,0,1,0,0,4,292,420.0,342.9,699.0,145.7
154,173807,8,Davies,173807,55,50,26,975,0,0,2,19,0,0,0,3,0,0,0,127,122.6,96.2,103.0,32.1
155,219352,8,Lookman,219352,55,49,34,600,0,3,1,8,0,0,0,0,0,0,0,110,131.4,172.1,211.0,51.6
156,80801,8,Gueye,80801,50,47,78,2821,0,2,13,31,0,0,0,6,0,0,0,472,629.2,311.3,168.0,111.1
157,50472,8,McCarthy,50472,45,44,1,14,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.1,0.0,0.5
158,42774,8,Schneiderlin,42774,45,42,28,832,0,1,5,9,0,0,0,2,0,0,0,152,151.6,124.7,17.0,29.4
205,41823,8,Delph,41823,55,53,29,722,0,1,3,9,0,0,0,1,1,0,2,186,153.8,97.8,24.0,27.5
422,120250,8,André Gomes,120250,55,54,64,1977,1,2,9,28,0,0,0,7,0,0,2,268,268.4,154.6,207.0,63.1
478,194164,8,Holgate,194164,45,43,5,407,0,0,0,9,0,0,0,1,0,0,0,61,92.2,5.0,2.0,9.9
479,57513,8,Lössl,57513,45,44,99,2777,0,1,5,54,0,1,0,1,0,88,9,541,764.2,40.3,4.0,80.7
159,111931,9,Pereira,111931,50,53,146,3123,2,8,10,45,0,0,0,7,0,0,22,693,889.0,517.6,430.0,183.7
160,95658,9,Maguire,95658,55,54,92,2596,3,1,6,41,0,0,0,6,1,0,10,533,715.8,165.3,462.0,134.3
161,172850,9,Chilwell,172850,50,50,118,3240,0,5,10,43,0,0,0,4,0,0,8,578,721.0,674.6,298.0,170.0
162,37642,9,Evans,37642,50,48,77,1993,1,0,8,26,0,0,0,2,0,0,3,418,460.0,66.1,158.0,68.5
163,37402,9,Fuchs,37402,45,41,3,206,0,0,0,5,0,0,0,0,0,0,0,38,50.4,85.6,14.0,14.9
164,218031,9,Söyüncü,218031,50,48,9,371,0,0,0,4,0,0,0,1,0,0,0,48,76.6,6.8,22.0,10.6
165,15033,9,Morgan,15033,45,45,76,1924,3,0,6,28,0,0,0,1,2,0,7,365,471.0,40.1,293.0,80.5
166,101668,9,Vardy,101668,90,90,174,2726,18,5,11,36,0,0,1,3,1,0,31,598,822.0,419.9,1206.0,244.6
167,173515,9,Iheanacho,173515,60,57,58,924,1,5,1,16,0,0,0,2,0,0,3,160,135.8,209.4,230.0,56.9
168,17745,9,Schmeichel,17745,50,50,120,3420,0,0,10,48,0,0,0,3,0,90,6,618,756.8,10.0,4.0,76.9
169,11974,9,Jakupovic,11974,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
170,95463,9,Ward,95463,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
171,172780,9,Maddison,172780,65,66,137,2831,7,7,8,44,0,0,1,3,1,0,12,619,801.4,1515.0,769.0,308.4
172,201666,9,Barnes,201666,55,55,43,1001,1,3,1,16,0,0,0,0,0,0,1,139,172.8,242.0,534.0,94.8
173,115858,9,Ghezzal,115858,55,50,28,733,1,0,1,13,0,0,0,3,0,0,2,112,147.8,307.0,228.0,68.3
174,51938,9,Albrighton,51938,55,51,63,1617,2,2,5,17,0,0,0,3,0,0,4,279,371.2,446.8,242.0,106.1
175,172632,9,Gray,172632,55,54,84,1978,4,1,6,29,0,0,0,2,0,0,3,244,320.2,310.2,599.0,122.5
176,203341,9,Ndidi,203341,50,49,89,3295,2,0,9,47,0,0,0,8,0,0,4,571,726.0,342.4,346.0,141.6
177,61604,9,James,61604,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
178,155569,9,Amartey,155569,45,43,15,639,0,0,1,9,0,0,0,2,0,0,0,103,139.0,46.7,21.0,20.8
179,86881,9,Mendy,86881,45,43,58,2085,0,1,7,29,0,0,0,5,0,0,0,291,235.8,135.5,23.0,39.5
180,197469,9,Choudhury,197469,45,43,20,593,0,0,4,4,0,0,0,0,0,0,0,80,119.6,73.7,51.0,24.6
265,168580,9,Pérez,168580,65,61,141,2916,12,2,11,35,0,0,0,2,0,0,19,541,783.6,585.6,954.0,232.1
448,166989,9,Tielemans,166989,60,60,63,1087,3,5,3,14,0,0,0,2,0,0,6,267,299.0,269.7,249.0,81.8
181,122798,10,Robertson,122798,60,67,213,3216,0,12,21,20,0,0,0,4,0,0,29,906,748.8,767.2,318.0,183.6
182,169187,10,Alexander-Arnold,169187,50,58,185,2460,1,13,16,14,0,0,0,3,0,0,25,753,734.4,837.4,276.0,184.7
183,97032,10,van Dijk,97032,60,67,208,3384,4,4,20,22,0,0,0,1,0,0,22,932,993.6,111.1,455.0,156.1
184,171287,10,Gomez,171287,50,48,55,1059,0,0,7,4,0,0,0,2,0,0,2,268,209.8,92.1,44.0,34.7
185,60914,10,Matip,60914,50,49,83,1535,1,0,9,12,0,0,0,3,0,0,7,402,414.6,57.9,85.0,55.9
186,38454,10,Lovren,38454,50,49,63,986,1,1,6,7,0,0,0,1,0,0,9,258,255.8,29.1,72.0,35.7
187,92217,10,Firmino,92217,95,93,160,2606,12,8,19,15,0,0,0,0,0,0,24,647,774.8,670.1,1240.0,267.8
188,152760,10,Origi,152760,50,50,32,364,3,1,3,2,0,0,0,0,0,0,1,122,143.4,45.0,195.0,38.2
189,116535,10,Alisson,116535,55,59,176,3420,0,0,21,22,0,0,0,1,0,76,9,771,677.0,0.1,0.0,67.6
190,66797,10,Mignolet,66797,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
191,118748,10,Salah,118748,130,132,259,3254,22,12,21,20,0,0,0,1,0,0,18,687,1186.8,973.9,2168.0,432.7
192,110979,10,Mané,110979,95,103,231,3076,22,3,19,21,0,0,0,2,0,0,24,703,1015.8,692.8,1332.0,304.0
193,81880,10,Chamberlain,81880,65,64,2,19,0,0,0,0,0,0,0,0,0,0,0,7,10.2,10.8,19.0,4.0
